Year,Month,Day,Hour,GHI,Temperature
2011,1,1,0,0,17.9
2011,1,1,1,0,17.7
2011,1,1,2,0,17.5
2011,1,1,3,0,17.4
2011,1,1,4,0,17.5
2011,1,1,5,91,18.5
2011,1,1,6,299,19.8
2011,1,1,7,524,21.2
2011,1,1,8,735,22.4
2011,1,1,9,910,23
2011,1,1,10,1026,29.6
2011,1,1,11,1090,30
2011,1,1,12,1088,29.8
2011,1,1,13,1022,29.2
2011,1,1,14,894,28.4
2011,1,1,15,717,27.5
2011,1,1,16,507,26.4
2011,1,1,17,283,25.1
2011,1,1,18,80,23.7
2011,1,1,19,0,22.7
2011,1,1,20,0,22.1
2011,1,1,21,0,21.8
2011,1,1,22,0,21.5
2011,1,1,23,0,21.3
2011,1,2,0,0,21.1
2011,1,2,1,0,20.8
2011,1,2,2,0,20.6
2011,1,2,3,0,20.6
2011,1,2,4,0,20.9
2011,1,2,5,82,21.7
2011,1,2,6,282,22.7
2011,1,2,7,500,23.7
2011,1,2,8,703,24.6
2011,1,2,9,873,25
2011,1,2,10,986,25.8
2011,1,2,11,1044,26
2011,1,2,12,1038,25.9
2011,1,2,13,957,25.4
2011,1,2,14,650,24.7
2011,1,2,15,367,23.9
2011,1,2,16,115,23
2011,1,2,17,48,22.3
2011,1,2,18,15,21.8
2011,1,2,19,0,21.5
2011,1,2,20,0,21.2
2011,1,2,21,0,20.9
2011,1,2,22,0,20.5
2011,1,2,23,0,20.1
2011,1,3,0,0,19.8
2011,1,3,1,0,19.5
2011,1,3,2,0,19.4
2011,1,3,3,0,19.2
2011,1,3,4,0,19.2
2011,1,3,5,12,19.3
2011,1,3,6,259,19.7
2011,1,3,7,467,20.2
2011,1,3,8,666,20.8
2011,1,3,9,834,21
2011,1,3,10,965,21.2
2011,1,3,11,1030,21.2
2011,1,3,12,229,21.1
2011,1,3,13,69,21
2011,1,3,14,386,20.7
2011,1,3,15,329,20.2
2011,1,3,16,69,19.6
2011,1,3,17,138,19
2011,1,3,18,38,18.5
2011,1,3,19,0,18.2
2011,1,3,20,0,18.1
2011,1,3,21,0,18.2
2011,1,3,22,0,18.2
2011,1,3,23,0,18.2
2011,1,4,0,0,18.2
2011,1,4,1,0,18.2
2011,1,4,2,0,18.3
2011,1,4,3,0,18.4
2011,1,4,4,0,18.7
2011,1,4,5,16,19.3
2011,1,4,6,63,20
2011,1,4,7,246,20.7
2011,1,4,8,308,21.1
2011,1,4,9,266,21.3
2011,1,4,10,264,21.6
2011,1,4,11,1046,21.7
2011,1,4,12,1049,21.8
2011,1,4,13,983,21.8
2011,1,4,14,861,21.7
2011,1,4,15,692,21.5
2011,1,4,16,487,21.1
2011,1,4,17,269,20.4
2011,1,4,18,14,19.8
2011,1,4,19,0,19.3
2011,1,4,20,0,19
2011,1,4,21,0,18.8
2011,1,4,22,0,18.7
2011,1,4,23,0,18.5
2011,1,5,0,0,18.4
2011,1,5,1,0,18.2
2011,1,5,2,0,18
2011,1,5,3,0,17.9
2011,1,5,4,0,18.1
2011,1,5,5,14,18.5
2011,1,5,6,226,19.2
2011,1,5,7,280,19.9
2011,1,5,8,298,20.6
2011,1,5,9,455,21
2011,1,5,10,840,21.8
2011,1,5,11,1032,22
2011,1,5,12,1030,22
2011,1,5,13,847,22
2011,1,5,14,534,21.7
2011,1,5,15,371,21.4
2011,1,5,16,95,20.9
2011,1,5,17,80,20.3
2011,1,5,18,23,19.8
2011,1,5,19,0,19.6
2011,1,5,20,0,19.6
2011,1,5,21,0,19.6
2011,1,5,22,0,19.7
2011,1,5,23,0,19.6
2011,1,6,0,0,19.6
2011,1,6,1,0,19.6
2011,1,6,2,0,19.6
2011,1,6,3,0,19.6
2011,1,6,4,0,19.7
2011,1,6,5,72,20.1
2011,1,6,6,266,20.6
2011,1,6,7,483,21.4
2011,1,6,8,688,22.2
2011,1,6,9,859,22.5
2011,1,6,10,906,23.4
2011,1,6,11,1049,23.7
2011,1,6,12,1050,23.8
2011,1,6,13,975,23.8
2011,1,6,14,853,23.6
2011,1,6,15,499,23.3
2011,1,6,16,479,22.8
2011,1,6,17,138,22.3
2011,1,6,18,34,21.6
2011,1,6,19,0,21.1
2011,1,6,20,0,20.9
2011,1,6,21,0,20.6
2011,1,6,22,0,20.4
2011,1,6,23,0,20.3
2011,1,7,0,0,20.2
2011,1,7,1,0,20.1
2011,1,7,2,0,20.1
2011,1,7,3,0,20.1
2011,1,7,4,0,20.4
2011,1,7,5,13,21.3
2011,1,7,6,54,22.2
2011,1,7,7,54,23
2011,1,7,8,210,23.6
2011,1,7,9,85,23.8
2011,1,7,10,978,24.3
2011,1,7,11,1039,24.4
2011,1,7,12,176,24.4
2011,1,7,13,980,24.3
2011,1,7,14,860,24.1
2011,1,7,15,406,23.9
2011,1,7,16,355,23.5
2011,1,7,17,221,23
2011,1,7,18,47,22.4
2011,1,7,19,0,22
2011,1,7,20,0,21.8
2011,1,7,21,0,21.6
2011,1,7,22,0,21.5
2011,1,7,23,0,21.4
2011,1,8,0,0,21.3
2011,1,8,1,0,21.1
2011,1,8,2,0,21
2011,1,8,3,0,21
2011,1,8,4,0,21.2
2011,1,8,5,73,21.9
2011,1,8,6,272,22.7
2011,1,8,7,491,23.5
2011,1,8,8,695,24.3
2011,1,8,9,869,24.6
2011,1,8,10,988,25.4
2011,1,8,11,1051,25.7
2011,1,8,12,1053,25.8
2011,1,8,13,989,25.7
2011,1,8,14,866,25.5
2011,1,8,15,694,25.1
2011,1,8,16,486,24.6
2011,1,8,17,269,24
2011,1,8,18,74,23.4
2011,1,8,19,0,22.8
2011,1,8,20,0,22.5
2011,1,8,21,0,22.4
2011,1,8,22,0,22.4
2011,1,8,23,0,22.4
2011,1,9,0,0,22.4
2011,1,9,1,0,22.6
2011,1,9,2,0,22.7
